Sample,HFD1,HFD2,HFD3,HFD4,HFD5,HFD6,ND1,ND2,ND3,ND4,ND5,ND6,QC_1,QC_8,QC_15
M100T472,8428.914312,10689.19023,10616.08418,16798.70402,10775.64268,8515.537118,24386.06517,10062.09602,8900.861022,18272.69478,11029.18552,10742.20007,15407.82046,10686.40037,9312.411088
M100T485,4789.88256,3355.568663,4179.637605,5006.931319,5162.618802,6475.584666,6970.529239,10259.11966,6664.408708,6533.164501,7105.43085,7202.186212,5367.288043,6784.729107,7001.677863
M100T98,1813.663216,515.5246649,1854.78745,503.4293624,1456.205128,1345.402598,2131.27224,306.4229809,2561.835518,502.3800837,1218.451452,1136.817615,1195.208718,1263.069247,706.4813272
M1010T44_1,622.3306199,1418.97904,504.9216725,1440.772842,874.1025616,1011.272981,2182.612507,1955.110017,1824.82724,1079.540205,1627.772245,1683.589826,1044.649089,1331.668049,1595.661991
M1010T44_2,538.2062694,1239.883022,570.262,1330.786006,829.3424363,807.176269,1507.935697,1388.02853,1159.690125,988.632362,1159.063665,1085.600068,747.0864646,851.0143897,1051.757783
M1011T44_1,724.480203,1429.158809,838.8365786,1083.192904,1034.33905,987.3403024,1646.717599,1507.663875,1790.72788,1232.196909,1725.855089,1242.192223,1454.128036,1582.037529,1182.567361
M1011T44_2,1006.065306,1110.70276,459.29069,1614.92509,776.7576063,758.5215427,1931.065801,931.2405256,1278.027689,1033.886653,1094.521667,1131.086104,923.1642879,1105.001147,1231.040157
M1011T480,3791.04949,3662.501769,4215.098345,2833.450694,4028.369896,3371.136618,3083.118841,2572.171734,3871.97531,1689.803917,2387.901213,3147.385545,3192.83762,3466.13591,3012.732006
M1012T44,866.6311481,1943.463754,503.9098054,1211.695884,701.297629,892.548125,1415.609087,1527.412141,973.6492869,1204.097812,1149.32525,930.5023778,1559.994137,1144.960696,1153.525134
M1012T480,1160.539048,1040.055814,1600.259284,1294.793759,1234.457755,1531.999496,1350.459901,884.7220456,1406.38488,1270.183616,1177.492444,1216.597338,1017.034704,1185.776864,1115.104389
M1014T313,925.2977916,2030.086259,790.7896475,2313.966773,1560.612921,1217.157249,22.84964939,40.23280323,37.28910493,158.3438338,88.7250437,23.09810302,940.257901,914.0906529,747.7189368
M1014T396,594.9575179,363.1042198,361.3067346,674.7020539,635.0025777,679.4594473,71.85417287,327.6265262,120.9424324,253.8800094,243.2216868,230.3963788,474.1102385,472.2188427,494.1580131
M1015T153,1600.799482,521.7625913,1877.650847,453.7560063,1049.852051,886.3227149,306.6579292,227.6168295,358.7348871,304.206849,118.7441793,215.3644457,769.7213882,780.1068127,944.0513322
M1015T313,336.8618752,1404.82916,552.4735763,1487.164205,976.4134857,988.548812,284.4105101,299.2507847,244.3428564,20.93051721,23.257516,29.83687228,628.8682291,536.283894,407.2802085
M1015T44,1305.874088,1912.039797,862.2315738,1642.438169,1467.993443,1446.753875,2816.745022,1886.90184,2348.241122,1866.303975,2642.511745,1828.009687,1731.92203,1799.563174,1693.956505
M1016T43_1,2012.275251,2656.334371,1440.436654,2252.992045,1807.825724,1788.381128,2592.239648,3830.007691,2863.517564,2105.818444,3086.381405,2818.98809,2093.750654,2387.20311,2574.474305
M1016T43_2,1670.04089,1653.807647,914.5701076,1596.966695,1218.520663,1777.892639,2575.473877,1383.158224,1639.013991,1555.421847,2295.803557,1922.982274,2426.757019,1665.867038,1671.217073
M1017T44_1,2090.760649,3290.026018,1772.576174,3165.468516,2277.048587,2161.40186,3867.26287,3574.33775,2801.724092,2796.203531,3016.790181,3218.399491,3667.840064,2626.486582,2475.126659
M1017T44_2,1300.930066,2275.315146,853.8752152,1788.233776,1331.922234,1034.215496,1946.723011,1989.93491,1426.510057,1784.069956,2103.779099,1965.840831,1751.201719,1394.909119,1639.780344
M1017T59,811.3857784,1447.0519,678.1944717,1583.959063,1087.400868,1174.04483,1350.421989,2131.587262,1222.824358,2049.696068,1191.106482,1496.479756,1132.629094,933.9956168,1279.228777
M1018T44_1,1869.494448,2826.496993,1469.277059,2951.587053,1878.260513,2118.254989,2925.591831,2955.176573,2398.160795,2384.782056,3170.642165,2782.097105,3182.159155,2004.585414,2841.981703
M1018T44_2,866.7032735,1133.622144,880.0810027,1205.549903,1564.367626,1217.564941,1386.242922,1292.637098,1877.688421,1052.928964,1422.966902,890.7973627,1038.089126,1214.520491,1207.613075
M1019T44,1705.26261,2720.856611,985.2037967,2208.43235,2123.441828,2101.862856,3292.292303,2393.038328,2736.797975,2233.706983,2681.145986,2828.669656,2703.188634,2550.941038,1706.781736
M101T214,3435.740148,1211.819383,3396.137261,1174.743919,2398.980129,2864.759326,1020.269675,446.4387261,806.308934,980.7173107,469.3293986,732.6925436,2078.900919,1367.514148,1942.237877
M101T418,50510.40389,148846.1573,64921.77783,142324.4346,133769.118,52929.41494,305037.8144,372481.0851,267193.9477,268005.0323,348210.1736,395433.5698,267642.2015,170702.3978,269967.5394
M101T448,74458.25033,66449.60656,71937.0241,72805.65037,86486.55466,148375.9317,55810.49614,57245.82252,62260.95828,58583.88623,63456.27386,65366.28744,49093.54874,71537.38195,73240.30423
M101T485,16556.45985,16672.371,10679.76663,17152.40988,11035.88458,12000.32501,17205.99162,14578.00522,16660.9017,15630.96725,15986.38513,18200.86216,11654.95922,13665.94367,16917.63043
M101T63,33537.11133,9708.408806,33853.32365,10709.31778,23580.32493,26045.32164,4937.16285,6492.00107,5376.375672,7630.755268,3416.971503,10605.16024,18189.87727,17262.82615,16241.2362
M1020T44,1252.112032,2095.165603,1161.660079,2032.851722,1197.357781,1698.075812,2525.314773,1625.600428,1721.955387,1645.117978,1995.924589,1731.820203,2310.419564,1268.573127,1676.625542
M1021T44,979.1356485,1851.005976,701.7383839,1802.516771,1158.995594,1341.852628,2106.833063,1867.772324,1607.628861,1201.759536,2458.698237,1501.800578,1212.046593,1239.561076,1708.320764
M1022T43,837.5802253,1226.265694,658.7419918,1136.412833,497.3984643,572.0041842,1181.68596,821.9793829,1088.942392,1052.324921,850.2505081,1584.654308,1373.580241,879.0845256,965.7358769
M1023T43_2,726.1911777,1588.714246,599.6859855,1056.180612,876.8385421,907.2235511,1552.174305,904.050218,1309.798927,1464.766715,1159.625483,1053.083529,1364.238051,1067.949826,1427.835946
M1024T43,734.119273,2144.396347,500.8311048,1492.712334,879.4130953,845.5100889,2292.984584,1354.561586,2066.159166,1163.818821,1713.827645,1847.582109,1602.115111,1399.232222,1523.836279
M1024T44,952.556332,1886.779145,742.1944758,1568.486916,1094.567119,1246.376351,2477.539322,1594.581081,1646.181023,1883.217355,2067.091058,2499.597818,1417.227176,1554.672198,2071.531305
M1025T43,242.9964566,1621.721306,595.2678038,1384.792358,1007.817831,1073.087266,2005.926615,1502.300965,1251.328856,1393.895781,1324.434099,1370.729061,1191.799924,1212.775603,1423.810745
M1025T44,1211.875792,2912.586254,874.0587156,2376.001192,1246.290189,1139.852469,3179.33582,2522.556196,2163.684991,1901.687004,1887.397891,2227.719023,1848.446836,1647.187301,1680.069749
M1026T43,928.4583852,1287.082766,461.2963262,720.2192173,599.2371815,932.0624542,1499.057141,1168.237925,1574.167763,1285.022998,710.0657228,1245.101192,1058.626741,985.7562634,1000.057823
M1026T44,892.7880915,2217.425436,800.5222308,1637.485133,1307.023534,947.3579263,2736.386714,1653.61998,1891.22038,1268.226287,1679.821301,2134.377905,1563.182823,1585.033697,2066.914222
M1027T43,1503.077859,2151.289712,746.8267757,1520.992755,779.6916241,1213.075324,2419.109946,1695.637315,1732.855981,1687.255437,1854.579771,1882.595754,1705.116596,1151.020158,1156.409319
M1028T43,880.6302885,1536.856237,558.3751594,1100.202425,747.8360453,721.5727891,1137.121418,1264.159014,1406.466927,957.7911445,1661.848307,1656.331119,1173.4304,1200.423321,1094.904217
M1029T479,2806.405673,3342.507809,3458.195478,3273.051476,3292.292072,2464.538799,2414.883909,3328.834052,2066.102844,1464.734958,2955.021668,1212.061753,3184.459489,3152.9267,3404.422399
M102T448,7993.001519,20075.38307,14246.89517,9512.958413,18734.22611,8302.91211,7318.045489,7099.739517,7978.714676,7233.7281,7472.712164,10466.51812,6420.490798,10642.85055,8867.369857
M102T52,15180.3076,4504.758738,13193.75239,4282.529978,10244.25143,10806.37217,4708.023343,4689.214286,4326.32347,5677.022886,5373.407642,4055.739886,7913.664348,6518.090099,5419.509743
M102T63,1687.831727,525.2782209,1952.8618,579.8628965,1408.665496,1283.58785,327.4639029,514.101511,464.445059,427.717997,447.7484188,477.9650852,660.1804113,992.9966422,832.4439087
M1031T308,2532.811622,1084.845205,1823.966446,1423.85199,1487.949697,1848.239074,971.0952662,1776.554224,518.1919571,1218.921986,1179.01244,1429.728165,1300.36708,987.7047562,993.1540711
M1031T43,674.0543752,1510.967293,755.8815801,1252.831663,969.2189025,924.755549,2191.574584,1931.245345,1792.127381,959.9591634,1732.429248,1328.192262,1297.769904,1135.538837,1478.653678
M1031T480,2144.832065,2661.013897,1461.601714,1948.028358,3933.846003,2829.155225,2227.466706,2239.094463,2985.780306,1808.588609,2258.581538,2317.841747,2920.90623,2228.796859,2613.506651
M1032T308,1777.639233,746.500823,1525.771265,570.331377,1202.60209,1289.78544,449.7704391,1310.952926,108.3879525,604.0856544,801.3257628,1204.75835,636.0446389,816.6425856,873.1655848
M1032T44_1,959.5604226,2046.429001,928.8818308,1336.984076,912.7115392,874.280211,3294.145429,2371.810393,2871.569596,1687.954858,2140.183461,1274.106253,1541.732411,1727.490912,1695.851917
M1032T44_2,397.7952539,1340.69774,336.4275389,816.1872913,489.2637563,605.3944368,865.8725053,1088.387364,958.564481,887.9058692,1388.742497,1142.965641,908.7339115,751.9238574,783.2798542
M1033T44_1,823.9476824,2658.076981,457.9143053,1945.631639,965.4269453,1119.095718,3017.831894,1899.511755,1749.362333,1474.774071,1614.251027,1682.45411,1073.708842,1191.347117,1613.012397
M1033T44_2,605.0013614,889.4122754,274.9940071,786.603115,757.9233987,546.0141743,1711.002597,1729.366865,801.8179165,873.3924909,1054.842246,1042.367219,950.6865526,861.7978013,1125.278557
M1033T479,2523.51757,3377.740011,2505.464042,2815.789623,3313.530256,3713.481206,3009.663545,2636.400802,2665.108108,3457.092227,3108.520124,3348.818254,2988.119219,3480.651346,3470.662864
M1034T43,545.5743976,2061.539688,875.9177655,1973.441957,1144.036137,1030.512977,2375.232972,1091.756599,1641.898046,1519.859768,1807.637594,1424.47043,1174.340906,1166.026851,1221.940688
M1036T251,1396.617729,1560.670329,1116.8556,1791.024111,1454.488799,1379.42941,1753.006237,2216.680023,1923.034954,2174.494716,2090.969984,1966.387674,2217.844171,1775.451839,1627.494468
M1036T43_1,1124.390023,1209.312052,680.72287,1208.904704,994.1944896,1018.65676,1446.704487,1571.653962,1863.831924,1820.812816,1688.936671,1718.15279,1109.134311,1023.399137,1241.385305
M1036T43_2,321.2618906,642.7251933,274.3429005,1058.575541,465.1298374,638.0374814,484.7783007,797.0407911,178.0180313,557.2596802,605.6522791,685.3645304,632.4769098,579.2768878,569.9019848
M1037T251,663.7898836,835.6308229,858.4006295,1184.014056,710.4031501,884.6343948,1147.926871,1370.151968,975.4142361,1395.188623,1409.072262,1256.068306,1602.312781,1170.495042,988.3304995
M1037T43,708.5019055,1634.906852,686.733668,1208.372615,752.6733479,1422.013998,2202.051741,1410.590956,1453.874801,1069.81322,1948.552449,1525.234133,1308.621048,1348.01422,1581.666108
M1038T335,619.2444707,2730.285927,708.7965954,2842.153348,1912.699901,1465.070483,1594.877718,1581.072146,1613.449901,1360.111895,1352.336855,1467.445816,2308.033716,1470.060971,1506.965881
M1039T336,489.0427858,1548.880619,541.9879261,1400.718435,1208.615429,1285.009863,934.0058348,986.2186511,1003.575387,704.9473871,771.8526171,875.0426391,1278.994494,1193.806804,1024.887073
M1039T43,560.9237399,1288.121133,525.6508787,1192.359737,736.7076891,668.2379233,730.3632431,1029.086753,1174.432543,887.3586846,1020.791302,1255.080581,1138.86766,898.230735,694.8762171
M103T126,17778.57131,6416.727897,18640.27714,7283.456475,12603.28865,14010.67932,1643.774459,4280.213632,1491.281584,4983.917116,3063.507444,3057.584365,7882.629362,8458.915357,8505.813924
M103T37,1267.927736,1574.786317,2013.142108,796.644648,1456.357862,1461.032999,1872.97802,1558.366761,1845.084288,606.2547164,340.5861636,761.6497942,1758.884941,1530.44402,2550.113611
M103T481,4532.4938,4385.532103,3076.833195,3634.949627,3860.808345,2851.09986,4817.484948,4493.832112,4233.334744,3134.584214,3772.748475,4018.236979,3944.389794,3116.032704,2149.466087
M103T487,1208.931315,1604.401852,1198.107107,2078.978199,745.5809564,1139.358045,1919.837376,2290.829653,2599.442811,1345.807727,1540.610123,1452.73556,1314.599161,1517.382376,1417.239014
M103T55,6580.332494,7985.43198,5746.159492,8677.870315,5576.468135,7899.800784,3800.88879,6647.323951,6319.915347,5275.97348,5877.592975,6578.763803,5699.9156,7114.370612,5803.214076
M1043T43,862.5847771,1895.451223,740.3325894,1484.509139,1480.484635,1400.829977,1969.635946,1714.474911,1932.83855,1880.555536,727.9210848,1626.388039,1279.261079,939.2583264,1453.868182
M1043T480,3325.588561,2857.252042,2969.644753,2887.602476,3128.381144,2516.044017,2253.563232,1769.553116,3005.780344,2507.782479,2260.9257,3011.315363,2552.120822,3987.991811,3141.730473
M1044T44,1390.287847,1823.200185,649.7480726,1861.146909,939.6758664,1537.087419,2593.012586,2400.912525,2871.000052,1340.076161,1505.143621,1854.116653,1526.790998,1638.653173,1488.35314
M1045T43,1716.002216,2368.279354,1158.18402,1729.366205,1692.881877,2067.509922,3105.552399,2392.502596,2547.317081,2693.391132,2040.671721,1852.907552,2001.482375,2034.4215,2176.53925
M1045T58,742.2161053,1273.110234,839.7122255,931.8761275,859.7750651,966.4522676,1159.176105,1276.403512,450.7306198,1243.335076,783.3601535,871.8704347,1191.074966,850.3636876,1173.728038
M1046T43,1727.566177,2363.608192,1137.538923,2043.219217,1376.601821,1630.133907,3359.469364,2726.607549,2343.184771,1994.801378,2443.947139,2821.248492,2011.141767,1998.874345,1836.060064
M1047T44,1670.709096,2323.722853,1208.29347,2166.926053,1948.50923,1550.07969,2789.384619,1578.871661,2377.184589,1806.431537,2173.048064,2195.316987,1851.393559,2049.191433,2127.880611
M1048T43,1337.594141,2162.623159,1005.823172,1779.40069,1428.352811,1142.101246,1984.496671,2176.356709,2643.3919,2231.39969,1991.608409,2011.811318,1768.845633,1572.073807,2032.168782
M1049T152,1103.248225,853.3856287,787.4129813,748.8542966,970.6117189,1161.014659,2491.472984,861.0153188,2197.736095,635.258018,1644.12629,1497.294845,1176.001932,1107.309473,1235.435403
M1049T44,866.0334715,1486.119652,779.7430896,1508.963266,1104.070488,1005.05153,2180.587333,1715.101079,1767.312714,1564.172024,1411.601498,2323.771123,1926.268819,1599.751977,1352.260007
M1049T479,3700.927493,2808.852855,3880.563774,3165.498429,3268.09902,3436.663747,2370.284889,1685.65503,1853.277058,3518.34966,3004.028671,3165.877564,2295.298327,1494.810654,2770.649889
M104T51,7436.515452,10413.70511,6675.370726,9489.605331,7538.241055,8284.033697,14409.31367,13579.01366,14799.11164,10970.19321,12457.87044,13512.46206,10475.64013,10845.46675,10179.84139
M1050T43_1,1463.714735,1163.277386,899.496293,1312.235195,844.2100986,1071.23312,1988.911919,1329.437834,1234.294552,1292.612866,1790.694254,1864.515797,1424.646732,991.1841567,1693.093909
M1051T43,1064.406427,1045.838175,775.0265191,1123.238481,708.7988522,737.5589811,1810.550027,1459.88426,1838.745336,780.3581068,1111.135724,1224.191514,1344.779818,1350.693564,1036.596523
M1053T43,610.6205691,1373.31962,747.9128366,1464.849563,806.1174908,819.3700567,1902.114623,831.7141944,1275.660099,1100.789371,1062.048583,1053.163773,912.0247135,992.9755449,1045.404031
M1054T179,3560.753228,1157.166538,2616.6347,1241.152135,2376.924644,2022.711569,312.4155305,166.3188853,160.8153818,460.1700502,264.4347566,384.9865503,1146.303613,973.5234464,1130.460867
M1054T44,543.9311072,866.4239889,474.0378754,714.4481924,660.2966626,911.5367208,1601.772313,1107.655053,1150.97825,743.7911979,1223.772434,750.0631844,707.7802416,917.565055,833.0483418
M1055T179_1,2212.697601,908.3857914,1786.949171,1172.895172,1835.336648,1304.961123,126.4170065,47.82783624,122.0059304,104.5184835,146.4007667,128.7054677,823.4266992,871.4668353,769.4771486
M1055T179_2,1783.633816,706.1718683,2445.59399,687.7944074,1139.704114,1048.789902,247.3928968,139.2175638,205.4434574,376.0360775,132.5494566,247.7925283,610.9483095,786.144148,570.7243934
M1057T43,725.2601634,1070.378533,570.7767175,1377.086639,693.8862572,552.4998592,902.9287179,1044.355756,1341.606976,1125.953853,985.8965936,925.0899552,1502.034542,904.0407849,1026.982815
M1058T44,550.4732231,1471.962173,571.5267069,520.7761391,797.2322833,940.3577446,2102.657304,1387.150846,1184.26546,1367.911571,2153.71269,1574.356006,1655.318755,1140.774464,1508.347907
M1059T44_1,1025.537037,2461.623943,922.4070513,1643.968083,1356.975982,1118.583918,1852.224364,2417.091451,2782.786344,1357.914002,1752.840966,1756.367484,1721.585849,1776.283895,1400.962613
M1059T44_2,1183.807446,1055.093822,857.884013,1601.288662,608.9517774,1314.589843,1942.631043,1517.563041,1490.49407,1435.887621,1030.543276,1398.363279,1002.367602,1195.270497,1706.393065
M105T487,358.4881945,447.9345935,352.2106539,373.6787502,403.9826897,429.8503874,635.8771401,402.2803744,466.4710344,522.4564522,518.3222353,579.9390471,403.9854499,426.0589979,482.5244216
M105T57,10364.5097,9240.973753,10321.34445,9966.338269,10040.17516,9819.614145,13756.81084,10591.12806,13071.7901,11889.0275,13341.39608,12750.57819,10751.90047,10860.44274,10705.09899
M1060T43,533.9367185,1638.922188,825.0490934,1292.401575,834.45996,865.9234176,1262.243332,1366.163606,1185.478641,1248.090783,1789.496096,1202.768163,1286.681753,1257.632436,1509.109985
M1060T44,1497.007647,1878.595742,825.9997555,2238.775875,1301.816269,1361.768684,3450.682255,1830.449055,2043.242708,1870.315443,2127.487167,1781.233184,1759.004455,1610.537035,1680.343865
M1061T43_1,1789.566253,2096.190193,767.0123429,1749.172177,1133.066692,1272.655371,2862.316717,2053.70519,2088.399921,1954.105416,1956.796631,1466.204161,1553.353509,2018.604105,1386.708235
M1061T43_2,418.7515274,1789.835756,574.9856886,541.6218102,680.8033176,665.9506211,1333.905712,1697.343794,788.2099741,1173.438624,908.7472505,987.5949689,728.6361147,1243.946962,1118.351855
M1061T480,3516.621103,3335.331047,2744.008688,3007.367145,3234.494614,3596.360374,2797.202741,1560.121005,3014.212318,3140.06984,3143.519688,2352.281142,2501.530073,3269.848139,2429.602753
M1062T43,963.3539696,1690.335847,540.4134743,1670.440129,1329.414774,800.1413818,1950.599989,1278.186848,2639.242219,1396.450582,1240.593226,1376.715114,1139.367514,1195.270497,1740.713793
M1063T44,902.8568073,548.1212121,654.5623504,732.5166544,1230.674671,1165.331053,2091.703076,2018.159592,1784.800465,1739.745237,1809.324308,1585.343025,1193.391533,1261.490507,701.5102587
M1064T44,813.8270325,1241.227725,394.8645304,1288.486322,804.0676052,1142.990828,2061.988452,1514.068216,1158.515686,1369.251041,1415.090186,849.983942,1402.279228,1210.750644,1535.436651
M1065T43,609.8143864,1141.164093,537.9346402,1019.795501,799.3151894,895.0899028,1691.136293,1163.992162,1298.812493,1462.503764,1426.391971,1638.048934,1610.052175,1409.321189,885.1596612
M1066T43,673.4272172,1411.729091,404.7753385,1189.977121,707.1465975,621.1390655,836.0678277,1524.634008,1166.682069,916.0983874,1186.812503,962.5306381,861.5419144,1047.238073,697.1795551
M1067T43_1,659.6236531,1409.156105,725.0875324,1614.794808,778.4440359,677.589463,1734.460289,2079.489634,1367.23802,1035.226574,1808.479091,1601.850624,821.2389038,1345.918816,1229.104495
M1067T43_2,580.5945872,1252.045837,524.3647631,529.2247933,631.0569707,593.0762144,949.6445773,1004.207783,1343.673037,958.7983905,1002.797705,1103.819172,932.6487079,866.4378652,622.5134374
M1068T331,883.6904928,3321.185061,536.7837876,3505.440566,2663.245507,2230.631057,2086.233811,1538.292621,2070.856609,1666.703636,2070.017401,2028.913138,2293.238328,1597.376401,1999.175627
M1068T43,817.5947502,1618.817292,525.4916727,1351.460956,1043.932712,1019.128578,1139.439818,1276.963571,1820.764125,1131.657773,1424.955738,1604.914608,1118.870109,1033.895304,1203.006664
M1068T44,772.8705452,1055.819172,361.4403985,1295.936234,606.1887734,579.5098836,970.1283018,1125.721511,1685.312453,807.7109076,848.4356481,1202.280994,1048.112414,801.4922728,829.5128765
M1069T331,503.6614038,2369.40479,424.9210742,2100.067713,1287.34698,1361.254295,1441.294694,1399.552971,1367.545952,1061.413817,1208.077659,904.8430268,1344.397293,1075.913346,1176.804801
M1069T43,1097.263069,1862.760017,748.3578749,1615.97537,885.2544842,1056.094082,2203.812437,1631.064935,1473.814414,1320.331708,1361.353957,1365.588048,873.4565295,1018.722988,1221.976076
M1069T480,3618.973154,3105.871231,3060.74792,2585.295168,3362.473873,3507.410219,2604.686083,2171.334442,2410.186519,2808.455878,2743.40169,3217.540461,2769.46628,2896.089489,2945.896119
M1070T43,573.9963485,1205.025541,569.0896912,1249.828396,473.2286234,616.3185656,1327.715803,1194.655245,1031.509681,1058.765599,1003.866483,1105.007444,1052.467231,1331.230385,1146.83873
M1071T44,1231.731959,2104.936809,800.8927931,1838.038731,742.0585675,781.3671148,1555.004659,1380.212524,1498.171461,1509.257293,1400.291857,1278.944329,1288.389764,1111.822142,1856.580434
M1072T44_1,1068.610223,1525.727688,940.8352699,1369.523197,1243.485038,1121.081741,2783.68441,1865.121077,1664.62968,1010.734665,1616.479259,1441.453991,1788.971553,1381.005905,1421.309549
M1073T43,1214.042687,1637.972554,885.3450076,1529.472157,1126.164334,974.342952,1937.593122,1482.642255,1530.860105,1060.469873,1598.029928,1229.489089,1812.596706,1185.838385,1337.033769
M1073T44,1660.925604,2630.350016,1207.689261,2211.080072,1791.407671,1350.567138,2636.488247,2384.151231,2694.517794,2047.685392,2977.175094,2097.119973,2225.163684,2147.987747,2620.45119
M1073T479,2228.351621,2898.971934,3223.150596,2617.591159,3389.157186,3009.730594,2533.796541,1490.707437,1839.70728,2573.403791,2256.872651,2931.487427,2739.929905,1999.203849,2862.222701
M1074T43_1,2353.760804,2938.680189,1283.265768,2222.031129,2253.183599,1835.852033,3625.096093,2489.730643,2102.773069,2902.685901,2418.422183,2066.433407,2593.278253,1925.35982,2826.680904
M1074T43_2,818.8964444,2234.724936,864.9525855,1822.249209,878.1921056,1314.167448,1895.959665,1289.616802,1649.359334,1859.551928,1672.127999,1741.670353,1253.971874,1171.347285,1344.412292
M1075T44,1567.290679,2572.031587,1561.919723,2331.701034,1450.744051,1642.401195,3088.014031,2989.123054,3131.535002,2300.391028,3152.307723,2246.256688,2154.330321,1677.601456,2063.66914
M1076T44,1229.821761,2016.34691,770.2803046,1826.781194,1291.600805,1359.43529,2072.074191,1746.122782,1729.654144,2207.841742,1636.090663,1847.227256,1738.079048,1867.575962,2083.843527
M1077T43,765.7592868,1788.191975,616.5494999,1491.79363,1145.88602,653.6694242,1834.971454,2137.380607,1927.503289,2267.55933,1632.856262,1529.68346,1865.691394,1357.980003,1343.058186
M1077T480,2756.78151,3057.450906,1402.63169,2526.980575,3726.422149,3442.29416,2824.254214,2781.903507,2992.284592,1543.170548,2720.30689,2893.432175,2966.306196,3104.151045,4232.287046
M1078T161_1,2116.462241,630.5570991,2177.293963,521.727267,1331.888225,1622.857879,95.24588966,89.66859917,123.0539071,49.4525358,41.01688492,84.71183421,651.5920087,781.9366827,880.3249239
M1078T161_2,2070.335704,625.0580546,2279.662648,604.2237057,1477.626024,1648.900907,228.4538021,249.6293427,234.7838351,282.0132791,343.9806817,324.9641803,902.7367073,751.0439895,974.2530505
M1078T43,861.1328219,1713.312969,486.8895076,1107.275831,793.3057061,744.3526564,1424.757011,1559.617225,1703.004284,1260.921623,1264.785456,1140.016379,1074.121539,837.7042567,1487.160095
